,precision,recall,f1-score,support
0,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
1,0.7857142857142857,1.0,0.88,11.0
3,0.9069767441860465,1.0,0.951219512195122,39.0
5,0.9473684210526315,1.0,0.972972972972973,18.0
7,1.0,0.6666666666666666,0.8,3.0
8,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,3.0
13,0.9971509971509972,0.9803921568627451,0.9887005649717514,357.0
14,0.6666666666666666,1.0,0.8,2.0
18,1.0,1.0,1.0,9.0
19,1.0,0.6666666666666666,0.8,3.0
20,1.0,1.0,1.0,25.0
23,1.0,1.0,1.0,10.0
24,0.0,0.0,0.0,1.0
accuracy,0.978,0.978,0.978,0.978
macro avg,0.8830035723572575,0.8836601307189542,0.8756046347152056,500.0
weighted avg,0.9787676421225994,0.978,0.9773143523680772,500.0
