,precision,recall,f1-score,support
0,0.95,0.95,0.9500000000000001,20.0
1,0.9473684210526315,0.9,0.9230769230769231,20.0
2,1.0,1.0,1.0,20.0
3,0.9523809523809523,1.0,0.975609756097561,20.0
4,1.0,1.0,1.0,20.0
5,0.9047619047619048,0.95,0.9268292682926829,20.0
6,1.0,0.9,0.9473684210526316,20.0
7,1.0,0.9,0.9473684210526316,20.0
8,0.9090909090909091,1.0,0.9523809523809523,20.0
9,1.0,1.0,1.0,20.0
10,1.0,1.0,1.0,20.0
11,0.9523809523809523,1.0,0.975609756097561,20.0
12,0.9444444444444444,0.85,0.8947368421052632,20.0
13,1.0,0.95,0.9743589743589743,20.0
14,0.9523809523809523,1.0,0.975609756097561,20.0
15,0.9090909090909091,1.0,0.9523809523809523,20.0
16,1.0,0.9,0.9473684210526316,20.0
17,1.0,1.0,1.0,20.0
18,1.0,1.0,1.0,20.0
19,1.0,1.0,1.0,20.0
20,1.0,0.8,0.888888888888889,20.0
21,1.0,1.0,1.0,20.0
22,1.0,1.0,1.0,20.0
23,1.0,1.0,1.0,20.0
24,0.8695652173913043,1.0,0.9302325581395349,20.0
25,1.0,1.0,1.0,20.0
26,0.9,0.9,0.9,20.0
27,0.9523809523809523,1.0,0.975609756097561,20.0
28,0.9523809523809523,1.0,0.975609756097561,20.0
29,1.0,0.95,0.9743589743589743,20.0
30,0.9047619047619048,0.95,0.9268292682926829,20.0
31,0.9473684210526315,0.9,0.9230769230769231,20.0
32,0.8695652173913043,1.0,0.9302325581395349,20.0
33,0.8695652173913043,1.0,0.9302325581395349,20.0
34,0.8636363636363636,0.95,0.9047619047619048,20.0
35,0.9523809523809523,1.0,0.975609756097561,20.0
36,0.9523809523809523,1.0,0.975609756097561,20.0
37,1.0,0.95,0.9743589743589743,20.0
38,1.0,1.0,1.0,20.0
39,0.9523809523809523,1.0,0.975609756097561,20.0
40,1.0,0.8,0.888888888888889,20.0
41,1.0,1.0,1.0,20.0
