,precision,recall,f1-score,support
atis_abbreviation,1.0,0.9411764705882353,0.9696969696969697,17.0
atis_aircraft,0.9166666666666666,1.0,0.9565217391304348,11.0
atis_airfare,0.9069767441860465,1.0,0.951219512195122,39.0
atis_airline,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
atis_airport,1.0,0.6666666666666666,0.8,3.0
atis_capacity,1.0,1.0,1.0,1.0
atis_city,1.0,1.0,1.0,1.0
atis_distance,1.0,1.0,1.0,3.0
atis_flight,0.9802816901408451,0.9747899159663865,0.9775280898876404,357.0
atis_flight#atis_airfare,0.0,0.0,0.0,2.0
atis_flight+atis_airfare,0.0,0.0,0.0,0.0
atis_flight_time,0.75,0.6666666666666666,0.7058823529411765,9.0
atis_ground_fare,1.0,0.6666666666666666,0.8,3.0
atis_ground_service,1.0,1.0,1.0,25.0
atis_quantity,1.0,1.0,1.0,10.0
atis_restriction,1.0,1.0,1.0,1.0
accuracy,0.962,0.962,0.962,0.962
macro avg,0.8434438482238621,0.8003034547152195,0.8171958986335661,500.0
weighted avg,0.966214332414918,0.962,0.9633835214287882,500.0
