,precision,recall,f1-score,support
atis_abbreviation,0.9375,0.8823529411764706,0.9090909090909091,17.0
atis_aircraft,0.8461538461538461,1.0,0.9166666666666666,11.0
atis_airfare,0.8085106382978723,0.9743589743589743,0.8837209302325582,39.0
atis_airline,0.9473684210526315,1.0,0.972972972972973,18.0
atis_airport,1.0,0.6666666666666666,0.8,3.0
atis_capacity,1.0,1.0,1.0,1.0
atis_city,1.0,1.0,1.0,1.0
atis_distance,1.0,1.0,1.0,3.0
atis_flight,0.9971098265895953,0.9663865546218487,0.9815078236130867,357.0
atis_flight#atis_airfare,0.0,0.0,0.0,2.0
atis_flight+atis_airfare,0.0,0.0,0.0,0.0
atis_flight_time,0.8181818181818182,1.0,0.9,9.0
atis_ground_fare,1.0,1.0,1.0,3.0
atis_ground_service,0.9615384615384616,1.0,0.9803921568627451,25.0
atis_meal,0.0,0.0,0.0,0.0
atis_quantity,1.0,1.0,1.0,10.0
atis_restriction,0.0,0.0,0.0,1.0
accuracy,0.962,0.962,0.962,0.962
macro avg,0.724491941871425,0.7346920668719976,0.7261383211434671,500.0
weighted avg,0.9644000895496804,0.962,0.9618492110638054,500.0
