,precision,recall,f1-score,support
AddToPlaylist,1.0,1.0,1.0,204.0
BookRestaurant,0.9951923076923077,1.0,0.9975903614457832,207.0
GetWeather,1.0,0.9952380952380953,0.9976133651551313,210.0
PlayMusic,0.9809523809523809,0.9809523809523809,0.9809523809523809,210.0
RateBook,1.0,1.0,1.0,205.0
SearchCreativeWork,0.9481132075471698,0.9757281553398058,0.9617224880382775,206.0
SearchScreeningEvent,0.995,0.9660194174757282,0.9802955665024631,206.0
accuracy,0.9882596685082873,0.9882596685082873,0.9882596685082873,0.9882596685082873
macro avg,0.988465413741694,0.9882768641437157,0.9883105945848624,1448.0
weighted avg,0.9884572710269507,0.9882596685082873,0.9882981565864968,1448.0
