,precision,recall,f1-score,support
AddToPlaylist,0.9902439024390244,0.9950980392156863,0.9926650366748165,204.0
BookRestaurant,0.9904306220095693,1.0,0.9951923076923077,207.0
GetWeather,1.0,0.9904761904761905,0.9952153110047847,210.0
PlayMusic,0.9808612440191388,0.9761904761904762,0.9785202863961813,210.0
RateBook,0.9951456310679612,1.0,0.9975669099756691,205.0
SearchCreativeWork,0.9704433497536946,0.9563106796116505,0.9633251833740832,206.0
SearchScreeningEvent,0.9759615384615384,0.9854368932038835,0.9806763285024154,206.0
accuracy,0.9861878453038674,0.9861878453038674,0.9861878453038674,0.9861878453038674
macro avg,0.986155183964418,0.9862160398139839,0.9861659090886082,1448.0
weighted avg,0.986169901546154,0.9861878453038674,0.9861591703175029,1448.0
