,precision,recall,f1-score,support
accept_reservations,1.0,0.75,0.8571428571428571,20.0
account_blocked,0.8947368421052632,0.85,0.8717948717948718,20.0
alarm,0.9090909090909091,1.0,0.9523809523809523,20.0
application_status,0.9090909090909091,1.0,0.9523809523809523,20.0
apr,1.0,1.0,1.0,20.0
are_you_a_bot,0.9,0.9,0.9,20.0
balance,0.9375,0.75,0.8333333333333334,20.0
bill_balance,0.9047619047619048,0.95,0.9268292682926829,20.0
bill_due,0.9473684210526315,0.9,0.9230769230769231,20.0
book_flight,1.0,1.0,1.0,20.0
book_hotel,1.0,0.85,0.9189189189189189,20.0
calculator,0.9090909090909091,1.0,0.9523809523809523,20.0
calendar,0.9444444444444444,0.85,0.8947368421052632,20.0
calendar_update,0.9047619047619048,0.95,0.9268292682926829,20.0
calories,1.0,1.0,1.0,20.0
cancel,0.9473684210526315,0.9,0.9230769230769231,20.0
cancel_reservation,1.0,0.75,0.8571428571428571,20.0
car_rental,0.9523809523809523,1.0,0.975609756097561,20.0
card_declined,0.8695652173913043,1.0,0.9302325581395349,20.0
carry_on,1.0,1.0,1.0,20.0
change_accent,1.0,0.8,0.888888888888889,20.0
change_ai_name,0.8,0.8,0.8000000000000002,20.0
change_language,0.9090909090909091,1.0,0.9523809523809523,20.0
change_speed,0.9523809523809523,1.0,0.975609756097561,20.0
change_user_name,0.8888888888888888,0.4,0.5517241379310346,20.0
change_volume,1.0,1.0,1.0,20.0
confirm_reservation,0.7916666666666666,0.95,0.8636363636363635,20.0
cook_time,0.9523809523809523,1.0,0.975609756097561,20.0
credit_limit,0.9047619047619048,0.95,0.9268292682926829,20.0
credit_limit_change,0.95,0.95,0.9500000000000001,20.0
credit_score,0.9047619047619048,0.95,0.9268292682926829,20.0
current_location,1.0,0.25,0.4,20.0
damaged_card,0.9444444444444444,0.85,0.8947368421052632,20.0
date,0.8333333333333334,1.0,0.9090909090909091,20.0
definition,0.9047619047619048,0.95,0.9268292682926829,20.0
direct_deposit,1.0,1.0,1.0,20.0
directions,0.9523809523809523,1.0,0.975609756097561,20.0
distance,0.782608695652174,0.9,0.8372093023255814,20.0
do_you_have_pets,1.0,0.95,0.9743589743589743,20.0
exchange_rate,1.0,0.9,0.9473684210526316,20.0
expiration_date,1.0,0.65,0.787878787878788,20.0
find_phone,1.0,1.0,1.0,20.0
flight_status,1.0,1.0,1.0,20.0
flip_coin,1.0,1.0,1.0,20.0
food_last,0.9523809523809523,1.0,0.975609756097561,20.0
freeze_account,0.9,0.9,0.9,20.0
fun_fact,1.0,1.0,1.0,20.0
gas,1.0,0.75,0.8571428571428571,20.0
gas_type,0.8636363636363636,0.95,0.9047619047619048,20.0
goodbye,0.8421052631578947,0.8,0.8205128205128205,20.0
greeting,0.85,0.85,0.85,20.0
how_busy,0.9523809523809523,1.0,0.975609756097561,20.0
how_old_are_you,0.9411764705882353,0.8,0.8648648648648648,20.0
improve_credit_score,1.0,0.9,0.9473684210526316,20.0
income,0.8181818181818182,0.9,0.8571428571428572,20.0
ingredient_substitution,1.0,0.95,0.9743589743589743,20.0
ingredients_list,0.8260869565217391,0.95,0.8837209302325583,20.0
insurance,0.7894736842105263,0.75,0.7692307692307692,20.0
insurance_change,0.8260869565217391,0.95,0.8837209302325583,20.0
interest_rate,0.9090909090909091,1.0,0.9523809523809523,20.0
international_fees,1.0,1.0,1.0,20.0
international_visa,1.0,1.0,1.0,20.0
jump_start,1.0,1.0,1.0,20.0
last_maintenance,0.8095238095238095,0.85,0.8292682926829269,20.0
lost_luggage,1.0,1.0,1.0,20.0
make_call,0.8333333333333334,1.0,0.9090909090909091,20.0
maybe,0.9,0.9,0.9,20.0
meal_suggestion,0.9047619047619048,0.95,0.9268292682926829,20.0
meaning_of_life,0.95,0.95,0.9500000000000001,20.0
measurement_conversion,0.95,0.95,0.9500000000000001,20.0
meeting_schedule,1.0,1.0,1.0,20.0
min_payment,0.9523809523809523,1.0,0.975609756097561,20.0
mpg,0.9090909090909091,1.0,0.9523809523809523,20.0
new_card,0.9,0.9,0.9,20.0
next_holiday,0.9047619047619048,0.95,0.9268292682926829,20.0
next_song,1.0,1.0,1.0,20.0
no,0.875,0.7,0.7777777777777777,20.0
nutrition_info,1.0,0.65,0.787878787878788,20.0
oil_change_how,0.95,0.95,0.9500000000000001,20.0
oil_change_when,0.8181818181818182,0.9,0.8571428571428572,20.0
