,precision,recall,f1-score,support
alarm_query,0.8636363636363636,1.0,0.9268292682926829,19.0
alarm_remove,0.8461538461538461,1.0,0.9166666666666666,11.0
alarm_set,1.0,0.6842105263157895,0.8125000000000001,19.0
audio_volume_down,0.7,0.875,0.7777777777777777,8.0
audio_volume_mute,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
audio_volume_up,1.0,1.0,1.0,13.0
calendar_query,0.5769230769230769,0.7894736842105263,0.6666666666666666,19.0
calendar_remove,0.8260869565217391,1.0,0.9047619047619047,19.0
calendar_set,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
cooking_recipe,0.875,0.7368421052631579,0.7999999999999999,19.0
datetime_convert,0.875,0.875,0.875,8.0
datetime_query,0.7307692307692307,1.0,0.8444444444444443,19.0
email_addcontact,0.875,0.875,0.875,8.0
email_query,1.0,1.0,1.0,19.0
email_querycontact,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
email_sendemail,0.95,1.0,0.9743589743589743,19.0
general_affirm,1.0,1.0,1.0,19.0
general_commandstop,1.0,1.0,1.0,19.0
general_confirm,1.0,0.9473684210526315,0.972972972972973,19.0
general_dontcare,1.0,1.0,1.0,19.0
general_explain,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
general_joke,1.0,0.8333333333333334,0.9090909090909091,12.0
general_negate,0.95,1.0,0.9743589743589743,19.0
general_praise,1.0,1.0,1.0,19.0
general_quirky,0.46153846153846156,0.3157894736842105,0.37499999999999994,19.0
general_repeat,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
iot_cleaning,1.0,0.8125,0.896551724137931,16.0
iot_coffee,1.0,0.9473684210526315,0.972972972972973,19.0
iot_hue_lightchange,1.0,1.0,1.0,19.0
iot_hue_lightdim,0.9230769230769231,1.0,0.9600000000000001,12.0
iot_hue_lightoff,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
iot_hue_lighton,1.0,0.3333333333333333,0.5,3.0
iot_hue_lightup,0.8235294117647058,1.0,0.9032258064516129,14.0
iot_wemo_off,0.8571428571428571,0.6666666666666666,0.75,9.0
iot_wemo_on,1.0,0.8571428571428571,0.923076923076923,7.0
lists_createoradd,1.0,0.8947368421052632,0.9444444444444444,19.0
lists_query,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
lists_remove,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
music_likeness,0.8571428571428571,0.6666666666666666,0.75,18.0
music_query,0.85,0.8947368421052632,0.8717948717948718,19.0
music_settings,0.875,1.0,0.9333333333333333,7.0
news_query,0.782608695652174,0.9473684210526315,0.8571428571428571,19.0
play_audiobook,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
play_game,1.0,0.7368421052631579,0.8484848484848484,19.0
play_music,0.64,0.8421052631578947,0.7272727272727272,19.0
play_podcasts,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
play_radio,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
qa_currency,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
qa_definition,0.875,0.7368421052631579,0.7999999999999999,19.0
qa_factoid,0.6470588235294118,0.5789473684210527,0.6111111111111113,19.0
qa_maths,1.0,0.8571428571428571,0.923076923076923,14.0
qa_stock,0.8571428571428571,0.9473684210526315,0.9,19.0
recommendation_events,0.6666666666666666,0.631578947368421,0.6486486486486486,19.0
recommendation_locations,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
recommendation_movies,1.0,1.0,1.0,10.0
social_post,0.8823529411764706,0.7894736842105263,0.8333333333333333,19.0
social_query,0.7727272727272727,0.9444444444444444,0.85,18.0
takeaway_order,1.0,0.7368421052631579,0.8484848484848484,19.0
takeaway_query,0.8260869565217391,1.0,0.9047619047619047,19.0
transport_query,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
transport_taxi,1.0,0.9444444444444444,0.9714285714285714,18.0
transport_ticket,0.95,1.0,0.9743589743589743,19.0
transport_traffic,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
weather_query,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
accuracy,0.8754646840148699,0.8754646840148699,0.8754646840148699,0.8754646840148699
macro avg,0.8857424087217485,0.8708932161131997,0.8705847654831917,1076.0
weighted avg,0.8830071427450764,0.8754646840148699,0.8735547504271087,1076.0
