,precision,recall,f1-score,support
AddToPlaylist,0.9900990099009901,1.0,0.9950248756218906,100.0
BookRestaurant,0.9900990099009901,1.0,0.9950248756218906,100.0
GetWeather,1.0,0.99,0.9949748743718593,100.0
PlayMusic,1.0,0.96,0.9795918367346939,100.0
RateBook,1.0,1.0,1.0,100.0
SearchCreativeWork,0.9090909090909091,1.0,0.9523809523809523,100.0
SearchScreeningEvent,1.0,0.93,0.9637305699481865,100.0
accuracy,0.9828571428571429,0.9828571428571429,0.9828571428571429,0.9828571428571429
macro avg,0.9841841326989842,0.9828571428571429,0.9829611406684962,700.0
weighted avg,0.9841841326989842,0.9828571428571429,0.982961140668496,700.0
