,precision,recall,f1-score,support
AddToPlaylist,0.9803921568627451,1.0,0.99009900990099,100.0
BookRestaurant,0.9803921568627451,1.0,0.99009900990099,100.0
GetWeather,1.0,0.98,0.98989898989899,100.0
PlayMusic,1.0,0.95,0.9743589743589743,100.0
RateBook,1.0,1.0,1.0,100.0
SearchCreativeWork,0.9158878504672897,0.98,0.9468599033816426,100.0
SearchScreeningEvent,0.9791666666666666,0.94,0.9591836734693877,100.0
accuracy,0.9785714285714285,0.9785714285714285,0.9785714285714285,0.9785714285714285
macro avg,0.9794055472656353,0.9785714285714285,0.9786427944158534,700.0
weighted avg,0.9794055472656352,0.9785714285714285,0.9786427944158537,700.0
